[2026-06-20 17:27:49.771] [INFO] Logger initialized
[2026-06-20 17:27:49.772] [EVT.ECO] Ecosystem created: 200x150, seed=42
[2026-06-20 17:27:49.797] [EVT.SPAWN] PineTree at (465,567)
[2026-06-20 17:27:49.797] [EVT.SPAWN] GrassTuft at (3777,656)
[2026-06-20 17:27:49.797] [EVT.SPAWN] WaterLily at (3965,57)
[2026-06-20 17:27:49.797] [EVT.SPAWN] OakTree at (15,2691)
[2026-06-20 17:27:49.797] [EVT.SPAWN] Coral at (4359,381)
[2026-06-20 17:27:49.797] [EVT.SPAWN] GrassTuft at (5111,1853)
[2026-06-20 17:27:49.797] [EVT.SPAWN] Cactus at (3995,4255)
[2026-06-20 17:27:49.797] [EVT.SPAWN] Flowers at (5807,727)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Flowers at (2957,985)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Cactus at (2991,3836)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Kelp at (3540,2996)
[2026-06-20 17:27:49.800] [EVT.SPAWN] GrassTuft at (5645,2161)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Cactus at (4289,803)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Plant at (643,689)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Mushroom at (4808,1173)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Cactus at (1311,4549)
[2026-06-20 17:27:49.800] [EVT.SPAWN] BerryBush at (3887,1736)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Plant at (6196,1762)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Mushroom at (5148,831)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Seaweed at (5291,254)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Grass at (2110,662)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Plant at (2739,3653)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Plant at (2425,1119)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Grass at (6325,1054)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Coral at (6359,914)
[2026-06-20 17:27:49.800] [EVT.SPAWN] GrassTuft at (801,1490)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Bush at (572,1028)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Mushroom at (469,2649)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Seaweed at (2781,4671)
[2026-06-20 17:27:49.800] [EVT.SPAWN] WaterLily at (3600,4176)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Toadstool at (1086,178)
[2026-06-20 17:27:49.800] [EVT.SPAWN] PineTree at (5423,672)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Mushroom at (6020,442)
[2026-06-20 17:27:49.800] [EVT.SPAWN] WaterLily at (2290,1181)
[2026-06-20 17:27:49.800] [EVT.SPAWN] PineTree at (5644,1444)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Bush at (5256,3825)
[2026-06-20 17:27:49.800] [EVT.SPAWN] OakTree at (5360,640)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Cactus at (4475,579)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Pine at (4884,384)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Bush at (1022,443)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Algae at (3300,167)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Grass at (3215,2614)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Plant at (3824,1912)
[2026-06-20 17:27:49.800] [EVT.SPAWN] BerryBush at (744,1384)
[2026-06-20 17:27:49.800] [EVT.SPAWN] OakTree at (3863,2246)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Mushroom at (5261,2758)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Plant at (3021,755)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Mushroom at (3544,1076)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Toadstool at (1529,254)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Moss at (2268,2186)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Toadstool at (4406,1165)
[2026-06-20 17:27:49.800] [EVT.SPAWN] PineTree at (3510,2559)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Plant at (906,3844)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Mushroom at (5618,3082)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Flowers at (4817,3941)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Plant at (2277,4260)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Bush at (4641,4349)
[2026-06-20 17:27:49.800] [EVT.SPAWN] Kelp at (3636,170)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Kelp at (4602,98)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Moss at (1811,4623)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Kelp at (3359,3619)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Plant at (774,109)
[2026-06-20 17:27:49.801] [EVT.SPAWN] BerryBush at (1814,1318)
[2026-06-20 17:27:49.801] [EVT.SPAWN] WaterLily at (3796,3622)
[2026-06-20 17:27:49.801] [EVT.SPAWN] PineTree at (4104,3659)
[2026-06-20 17:27:49.801] [EVT.SPAWN] PineTree at (4821,4469)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Coral at (3745,135)
[2026-06-20 17:27:49.801] [EVT.SPAWN] OakTree at (2145,3414)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Bush at (4099,4125)
[2026-06-20 17:27:49.801] [EVT.SPAWN] WaterLily at (3948,196)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Seaweed at (5090,321)
[2026-06-20 17:27:49.801] [EVT.SPAWN] GrassTuft at (3577,3651)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Toadstool at (3823,4448)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Bush at (1262,3731)
[2026-06-20 17:27:49.801] [EVT.SPAWN] BerryBush at (1346,1332)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Bush at (1701,33)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Flowers at (955,3941)
[2026-06-20 17:27:49.801] [EVT.SPAWN] BerryBush at (5920,280)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Pine at (1702,4242)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Plant at (3600,4309)
[2026-06-20 17:27:49.801] [EVT.SPAWN] OakTree at (2106,3513)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Flowers at (5158,4494)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Algae at (1226,3253)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Grass at (621,2563)
[2026-06-20 17:27:49.801] [EVT.SPAWN] BerryBush at (1385,3005)
[2026-06-20 17:27:49.801] [EVT.SPAWN] GrassTuft at (3599,1261)
[2026-06-20 17:27:49.801] [EVT.SPAWN] PineTree at (5272,557)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Coral at (4018,62)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Flowers at (3885,1917)
[2026-06-20 17:27:49.801] [EVT.SPAWN] OakTree at (2866,2701)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Toadstool at (3138,881)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Grass at (6083,3670)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Coral at (1309,2414)
[2026-06-20 17:27:49.801] [EVT.SPAWN] PineTree at (4941,3382)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Bush at (1303,4655)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Cactus at (5987,3191)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Moss at (4074,652)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Kelp at (379,3237)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Plant at (92,306)
[2026-06-20 17:27:49.801] [EVT.SPAWN] PineTree at (4504,1721)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Pine at (739,3562)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Pine at (1230,4583)
[2026-06-20 17:27:49.801] [EVT.SPAWN] BerryBush at (3121,2133)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Seaweed at (2789,3183)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Seaweed at (4913,192)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Plant at (1281,696)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Moss at (2431,2372)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Plant at (1667,2198)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Toadstool at (1028,3909)
[2026-06-20 17:27:49.801] [EVT.SPAWN] Pine at (1580,3488)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Horse at (1849,3428)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Salmon at (4040,191)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Deer at (6143,3402)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Deer at (6134,1338)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Fish at (4226,149)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Turtle at (2144,3602)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Rabbit at (2204,4360)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Lizard at (2693,215)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Lizard at (975,1333)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Lizard at (3674,3295)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Sheep at (4431,1582)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Goat at (4668,3628)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Goat at (5090,2259)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Salmon at (5929,2809)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Salmon at (1218,2424)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Turtle at (2955,3043)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Turtle at (1933,2629)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Fish at (3582,66)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Sheep at (1743,1094)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Salmon at (4206,208)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Goat at (4243,802)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Horse at (310,1221)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Fish at (3759,126)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Lizard at (4962,4386)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Lizard at (5764,467)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Deer at (1720,3890)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Horse at (4598,891)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Horse at (5821,602)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Gazelle at (3992,3096)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Salmon at (5765,1054)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Turtle at (3596,905)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Rabbit at (3626,2036)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Horse at (4727,1370)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Rabbit at (6229,4542)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Lizard at (2577,2853)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Goat at (3763,4216)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Turtle at (3081,4306)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Goat at (5315,4493)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Turtle at (3350,1720)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Deer at (3958,543)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Rabbit at (798,230)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Horse at (1462,1476)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Horse at (5147,1998)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Sheep at (5412,2724)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Goat at (401,4793)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Horse at (1453,3764)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Gazelle at (6366,2216)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Rabbit at (2554,1698)
[2026-06-20 17:27:49.802] [EVT.SPAWN] Horse at (2861,1634)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Turtle at (911,19)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Lizard at (3843,3400)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Rabbit at (2532,2932)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Sheep at (6300,2331)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Deer at (1342,3708)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Horse at (4514,2494)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Turtle at (2491,3474)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Sheep at (1753,1926)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Goat at (4153,3744)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Fish at (5207,71)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Rabbit at (3817,1785)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Piranha at (4958,200)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Crocodile at (4429,3938)
[2026-06-20 17:27:49.803] [EVT.SPAWN] Crocodile at (6195,118)
[2026-06-20 17:27:49.804] [EVT.SPAWN] Shark at (4752,16)
[2026-06-20 17:27:49.804] [EVT.SPAWN] Lion at (5802,494)
[2026-06-20 17:27:49.804] [EVT.SPAWN] Wolf at (2048,4343)
[2026-06-20 17:27:49.804] [EVT.SPAWN] Snake at (1511,4049)
[2026-06-20 17:27:49.804] [EVT.SPAWN] Fox at (1269,4630)
[2026-06-20 17:27:49.804] [EVT.SPAWN] Fox at (4188,4622)
[2026-06-20 17:27:49.805] [EVT.SPAWN] Shark at (6352,784)
[2026-06-20 17:27:49.805] [EVT.SPAWN] Lion at (2891,2061)
[2026-06-20 17:27:49.805] [EVT.SPAWN] Wolf at (3486,4128)
[2026-06-20 17:27:49.805] [EVT.SPAWN] Fox at (2956,179)
[2026-06-20 17:27:49.805] [EVT.SPAWN] Wolf at (2482,2180)
[2026-06-20 17:27:49.805] [EVT.SPAWN] Crocodile at (5754,1362)
[2026-06-20 17:27:49.805] [EVT.SPAWN] Piranha at (4724,2)
[2026-06-20 17:27:49.806] [EVT.SPAWN] Shark at (4752,16)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Shark at (4752,16)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Lynx at (3297,946)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Crocodile at (769,24)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Boar at (3593,3385)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Jellyfish at (5132,3586)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Bear at (1840,484)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Beetle at (2911,1012)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Boar at (5812,2562)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Boar at (1168,1715)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Jellyfish at (4033,1055)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Raccoon at (4962,2042)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Bear at (5643,29)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Butterfly at (1469,2650)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Raccoon at (4079,2780)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Jellyfish at (5315,167)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Frog at (480,4206)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Bear at (5271,1780)
[2026-06-20 17:27:49.807] [EVT.SPAWN] Beetle at (3948,570)
[2026-06-20 17:27:49.812] [EVT.ECO] Initialized: P=150 H=60 C=20 O=15 | Total=245
[2026-06-20 17:27:52.792] [EVT.STATS] T=0,3s P=150 H=60 C=20 O=15 Total=245
[2026-06-20 17:27:53.050] [EVT.SPAWN] Pine at (1100,2655)
[2026-06-20 17:27:53.286] [EVT.SPAWN] Pine at (4201,1529)
[2026-06-20 17:27:53.286] [EVT.SPAWN] Moss at (4771,3992)
[2026-06-20 17:27:53.386] [EVT.SPAWN] Mushroom at (5091,2654)
[2026-06-20 17:27:53.387] [EVT.SPAWN] PineTree at (2092,3138)
[2026-06-20 17:27:53.485] [EVT.SPAWN] Grass at (604,2501)
[2026-06-20 17:27:53.485] [EVT.SPAWN] Plant at (737,115)
[2026-06-20 17:27:53.684] [EVT.SPAWN] Mushroom at (3510,1037)
[2026-06-20 17:27:53.684] [EVT.SPAWN] BerryBush at (3429,2274)
[2026-06-20 17:27:53.785] [EVT.SPAWN] Pine at (1190,4588)
[2026-06-20 17:27:53.884] [EVT.SPAWN] Plant at (1251,667)
[2026-06-20 17:27:53.884] [EVT.SPAWN] GrassTuft at (853,1470)
[2026-06-20 17:27:53.884] [EVT.SPAWN] BerryBush at (5743,171)
[2026-06-20 17:27:53.884] [EVT.SPAWN] Bush at (1741,885)
[2026-06-20 17:27:53.884] [EVT.SPAWN] Pine at (1079,2709)
[2026-06-20 17:27:53.994] [EVT.SPAWN] Plant at (2233,4266)
[2026-06-20 17:27:53.994] [EVT.SPAWN] PineTree at (1226,4481)
[2026-06-20 17:27:54.086] [EVT.SPAWN] Plant at (931,3901)
[2026-06-20 17:27:54.086] [EVT.SPAWN] Grass at (982,3059)
[2026-06-20 17:27:54.186] [EVT.SPAWN] Cactus at (5953,3217)
[2026-06-20 17:27:54.186] [EVT.SPAWN] Toadstool at (1080,230)
[2026-06-20 17:27:54.186] [EVT.SPAWN] Grass at (1820,1795)
[2026-06-20 17:27:54.186] [EVT.SPAWN] Grass at (2051,2764)
[2026-06-20 17:27:54.287] [EVT.SPAWN] Flowers at (3823,1942)
[2026-06-20 17:27:54.287] [EVT.SPAWN] GrassTuft at (3571,1309)
[2026-06-20 17:27:54.287] [EVT.SPAWN] PineTree at (4764,4465)
[2026-06-20 17:27:54.382] [EVT.SPAWN] PineTree at (4451,1722)
[2026-06-20 17:27:54.382] [EVT.SPAWN] Toadstool at (3174,936)
[2026-06-20 17:27:54.382] [EVT.SPAWN] PineTree at (3482,2527)
[2026-06-20 17:27:54.382] [EVT.SPAWN] Pine at (4143,1548)
[2026-06-20 17:27:54.482] [EVT.SPAWN] Plant at (122,302)
[2026-06-20 17:27:54.482] [EVT.SPAWN] Flowers at (972,3995)
[2026-06-20 17:27:54.482] [EVT.SPAWN] Moss at (4781,3942)
[2026-06-20 17:27:54.580] [EVT.DEATH] Seaweed died at age 2,5s, energy 0,0
[2026-06-20 17:27:54.583] [EVT.SPAWN] Pine at (692,3603)
[2026-06-20 17:27:54.583] [EVT.SPAWN] OakTree at (2832,2676)
[2026-06-20 17:27:54.583] [EVT.SPAWN] Algae at (1215,3224)
[2026-06-20 17:27:54.583] [EVT.SPAWN] Bush at (4673,4311)
[2026-06-20 17:27:54.583] [EVT.SPAWN] Moss at (3480,3075)
[2026-06-20 17:27:54.683] [EVT.SPAWN] Moss at (2374,2340)
[2026-06-20 17:27:54.683] [EVT.SPAWN] Grass at (6122,3639)
[2026-06-20 17:27:54.771] [EVT.DEATH] Grass died at age 2,7s, energy -0,7
[2026-06-20 17:27:54.774] [EVT.DEATH] Bush died at age 2,7s, energy -2,0
[2026-06-20 17:27:54.783] [EVT.SPAWN] Mushroom at (5066,2633)
[2026-06-20 17:27:54.783] [EVT.SPAWN] Pine at (1078,2698)
[2026-06-20 17:27:54.783] [EVT.SPAWN] PineTree at (2101,3177)
[2026-06-20 17:27:54.866] [EVT.SPAWN] Pine at (1094,2618)
[2026-06-20 17:27:54.883] [EVT.SPAWN] GrassTuft at (5605,2207)
[2026-06-20 17:27:54.982] [EVT.SPAWN] Grass at (574,2610)
[2026-06-20 17:27:54.982] [EVT.SPAWN] Plant at (748,140)
[2026-06-20 17:27:54.982] [EVT.SPAWN] Pine at (5261,475)
[2026-06-20 17:27:54.982] [EVT.SPAWN] Kelp at (5742,1173)
[2026-06-20 17:27:55.086] [EVT.SPAWN] Toadstool at (3873,4400)
[2026-06-20 17:27:55.086] [EVT.SPAWN] Mushroom at (5606,3140)
[2026-06-20 17:27:55.086] [EVT.SPAWN] Plant at (2996,813)
[2026-06-20 17:27:55.086] [EVT.SPAWN] Cactus at (1681,2429)
[2026-06-20 17:27:55.180] [EVT.SPAWN] BerryBush at (3099,2074)
[2026-06-20 17:27:55.180] [EVT.SPAWN] Moss at (2211,2217)
[2026-06-20 17:27:55.180] [EVT.SPAWN] BerryBush at (803,1373)
[2026-06-20 17:27:55.180] [EVT.SPAWN] Cactus at (4461,618)
[2026-06-20 17:27:55.180] [EVT.SPAWN] Coral at (6304,946)
[2026-06-20 17:27:55.180] [EVT.SPAWN] Plant at (2471,1082)
[2026-06-20 17:27:55.180] [EVT.SPAWN] Pine at (3906,4659)
[2026-06-20 17:27:55.180] [EVT.SPAWN] BerryBush at (3529,2284)
[2026-06-20 17:27:55.180] [EVT.SPAWN] Moss at (4974,644)
[2026-06-20 17:27:55.284] [EVT.SPAWN] Mushroom at (3485,1048)
[2026-06-20 17:27:55.284] [EVT.SPAWN] OakTree at (1,2658)
[2026-06-20 17:27:55.284] [EVT.SPAWN] PineTree at (650,243)
[2026-06-20 17:27:55.402] [EVT.SPAWN] BerryBush at (1320,2997)
[2026-06-20 17:27:55.402] [EVT.SPAWN] PineTree at (4068,3629)
[2026-06-20 17:27:55.402] [EVT.SPAWN] Flowers at (4870,3896)
[2026-06-20 17:27:55.402] [EVT.SPAWN] Toadstool at (1553,190)
[2026-06-20 17:27:55.402] [EVT.SPAWN] Bush at (524,1052)
[2026-06-20 17:27:55.497] [EVT.SPAWN] Seaweed at (2846,3168)
[2026-06-20 17:27:55.497] [EVT.SPAWN] Pine at (1210,4551)
[2026-06-20 17:27:55.497] [EVT.SPAWN] Mushroom at (5249,2814)
[2026-06-20 17:27:55.497] [EVT.SPAWN] Plant at (2710,3634)
[2026-06-20 17:27:55.582] [EVT.SPAWN] Plant at (1229,701)
[2026-06-20 17:27:55.582] [EVT.SPAWN] Plant at (625,725)
[2026-06-20 17:27:55.582] [EVT.SPAWN] Kelp at (3519,2944)
[2026-06-20 17:27:55.582] [EVT.SPAWN] Pine at (4213,1491)
[2026-06-20 17:27:55.582] [EVT.SPAWN] Bush at (1747,889)
[2026-06-20 17:27:55.667] [EVT.SPAWN] Pine at (4240,1541)
[2026-06-20 17:27:55.693] [EVT.SPAWN] Flowers at (5206,4500)
[2026-06-20 17:27:55.693] [EVT.SPAWN] BerryBush at (5963,306)
[2026-06-20 17:27:55.693] [EVT.SPAWN] BerryBush at (5665,150)
[2026-06-20 17:27:55.693] [EVT.SPAWN] Pine at (1109,2684)
[2026-06-20 17:27:55.693] [EVT.SPAWN] Moss at (4798,4018)
[2026-06-20 17:27:55.693] [EVT.SPAWN] Cactus at (307,1067)
[2026-06-20 17:27:55.766] [EVT.SPAWN] Pine at (1033,2733)
[2026-06-20 17:27:55.766] [EVT.SPAWN] Moss at (4753,4015)
[2026-06-20 17:27:55.766] [EVT.SPAWN] Pine at (1135,2647)
[2026-06-20 17:27:55.791] [EVT.SPAWN] Toadstool at (1063,3875)
[2026-06-20 17:27:55.791] [EVT.SPAWN] GrassTuft at (3606,3674)
[2026-06-20 17:27:55.791] [EVT.SPAWN] BerryBush at (1756,1306)
[2026-06-20 17:27:55.791] [EVT.SPAWN] GrassTuft at (840,1502)
[2026-06-20 17:27:55.791] [EVT.SPAWN] Grass at (2057,688)
[2026-06-20 17:27:55.883] [EVT.SPAWN] Mushroom at (440,2594)
[2026-06-20 17:27:55.883] [EVT.SPAWN] Flowers at (5765,3813)
[2026-06-20 17:27:55.883] [EVT.SPAWN] PineTree at (1223,4455)
[2026-06-20 17:27:55.979] [EVT.SPAWN] Pine at (1554,3543)
[2026-06-20 17:27:55.980] [EVT.SPAWN] Kelp at (394,3267)
[2026-06-20 17:27:55.980] [EVT.SPAWN] Plant at (2292,4323)
